name_dippr,name_cosmors,dippr_chemid,casrn,association_classification,association_subclassification,dippr_chemical_family,molcecular_weight,tc_k,pc_bar,omega,hhb_cosm_kj_kmol,m,sigma,epsilonk_k,association_scheme,epsilonAB_k,kappaAB,errPsat_%,errvLsat_%,errΔvapH_%,errcpLsat_%,Area_HD,Area_NA,Area_HA,Area_Total_COSMO
ISOBUTYLAMINE,2-methyl-1-propanamine,1714,"""78-81-9""",SA,SA,other aliphatic amines,73.13684,513.73,42.15,0.362734,3.681386,3.55142,3.28667,223.755,3B,842.1052631578948,0.02631578947368421,1.17406985251258,0.703057710896821,2.70685994388576,2.97964578330652,0.002228486509285306,0.11624688054823742,0.008329917124958104,0.129707547686
ISOPROPYLAMINE,isopropylamine,1719,"""75-31-0""",SA,SA,other aliphatic amines,59.11026,471.85,45.4,0.275913,3.923734,3.15891,3.21751,215.021,3B,842.1052631578948,0.02631578947368421,0.205345674208363,0.417022869443182,3.15332727591747,1.58641058113347,0.0025442544446140558,0.09858320342227803,0.007886457593409675,0.11208434697800003
n-TETRADECYLAMINE,1-tetradecanamine,1720,"""2016-42-4""",SA,SA,n-aliphatic primary amines,213.40264,722.0,16.6,0.860884,2.629564,7.26026,3.68784,249.3,3B,842.1052631578948,0.02631578947368421,2.59821160298543,0.362422459038401,0.0,3.14892614283685,0.0025637049630889896,0.32069807456336463,0.008451576438788584,0.3347300345280001
sec-BUTYLAMINE,2-butanamine,1726,"""13952-84-6""",SA,SA,other aliphatic amines,73.13684,514.3,40.0,0.281523,3.334374,3.01016,3.50147,240.786,3B,842.1052631578948,0.02631578947368421,0.523449315277264,0.354114855508343,4.15223512000278,4.6967558697139,0.001700225120262491,0.11776329345841266,0.007947447711977442,0.13019302208900002
tert-BUTYLAMINE,2-amino-2-methylpropane,1727,"""75-64-9""",SA,SA,other aliphatic amines,73.13684,483.9,38.4,0.274841,2.748796,3.11774,3.4684,221.13,3B,842.1052631578948,0.02631578947368421,0.94905119383311,0.510306034484138,4.54343940308183,4.89937913418057,0.002000164070897667,0.11528408280345198,0.007855949197663383,0.12796777540700002
DI-n-BUTYLAMINE,dibutylamine,1744,"""111-92-2""",SA,SA,other aliphatic amines,129.24316,602.3,25.7,0.529628,1.061749,4.63406,3.65704,238.937,3B,842.1052631578948,0.02631578947368421,1.60447899551639,0.444026801264603,2.8389033272762,1.03740528930908,0.001061723595640079,0.20622767753019497,0.006502348740471896,0.2155293835360001
n-PENTADECANOIC ACID,n-heptanoicacid,2259,"""1002-84-2""",SA,SA,n-aliphatic acids,242.398,774.0,15.7,0.963881,12.82943,8.3077,3.58599,256.574,1A,3846.2,0.00404040404040404,0.536916521251351,0.363328614853964,0.0,9.5851601986848,0.006932473412821337,0.16772797871078043,0.014937964107094127,0.19281245007700004
n-HEPTADECANOIC ACID,heptanedioicacid,2265,"""506-12-7""",SA,SA,n-aliphatic acids,270.451,792.0,13.7,1.01866,13.995043,8.68027,3.6777,260.27,1A,3846.2,0.00404040404040404,0.822925821625828,0.490020543510789,0.0,9.86530258107015,0.013758097591589132,0.1560844026148625,0.029424420064548033,0.20612662971999993
n-HEXYLAMINE,1-octanamine,2706,"""111-26-2""",SA,SA,n-aliphatic primary amines,101.19,584.0,31.8,0.45767,3.255518,4.21456,3.45808,239.608,3B,842.1052631578948,0.02631578947368421,1.19488732743369,0.399383255435373,3.12819485622727,1.70057550506161,0.0025813598708390294,0.20016484287465255,0.008727405198987676,0.21426272491
n-HEPTYLAMINE,1-nonanamine,2707,"""111-68-2""",SA,SA,n-aliphatic primary amines,115.21658,607.0,28.5,0.507715,3.115863,4.52692,3.52622,243.075,3B,842.1052631578948,0.02631578947368421,1.64016355397039,0.256423670681165,5.0044469162702,1.67712508837988,0.0025729557118004008,0.22014590702835873,0.0086974262788562,0.23432039736799998
n-OCTYLAMINE,1-decanamine,2708,"""111-86-4""",SA,SA,n-aliphatic primary amines,129.24316,627.0,25.8,0.569352,2.789017,5.05991,3.53075,241.085,3B,842.1052631578948,0.02631578947368421,1.24807466612089,0.254933635288906,4.21564778729539,1.39565718903722,0.0026107690276223625,0.24046924372143613,0.008438669581868867,0.2544137439180001
n-NONYLAMINE,1-dodecanamine,2709,"""112-20-9""",SA,SA,n-aliphatic primary amines,143.26974,648.0,23.6,0.617062,2.940739,5.40122,3.57708,244.07,3B,842.1052631578948,0.02631578947368421,1.49981278089234,0.308464618340161,4.48692004829142,1.81970941316272,0.0025887661679657122,0.2808176076929759,0.008334844107362481,0.294581189844
n-DECYLAMINE,n-ethyl-2-methyl-2-propen-1-amine,2710,"""2016-57-1""",SA,SA,n-aliphatic primary amines,157.29632,663.0,21.8,0.66637,3.045719,5.81443,3.58501,243.885,3B,842.1052631578948,0.02631578947368421,1.58091155536806,0.36988625612103,3.44026237339548,2.00185653050739,0.00101596552183195,0.15732394890315005,0.00607723685839074,0.16723241128599997
n-DODECYLAMINE,"n,n-di-2-propenyl-2-propen-1-amine",2712,"""124-22-1""",SA,SA,n-aliphatic primary amines,185.34948,696.0,18.8,0.763782,2.837087,6.38735,3.68443,249.953,3B,842.1052631578948,0.02631578947368421,2.25339401154751,0.363502655974941,5.23936487429941,3.14854060939256,0.0,0.20862779332693654,0.0028755510167730114,0.21204491593900004
3-ETHYL-1-HEPTANOL,3-methyl-5-(1-methylethyl)-phenol,3106,"""3525-25-5""",SA,SA,other aliphatic alcohols,144.2545,636.7,25.46,0.8657,14.346571,7.97783,3.0475,209.541,2B,2550.0,0.008,1.50612468205669,0.657385291731474,9.19390613257485,18.1166401439102,0.007550400346287676,0.1885769284946159,0.006199335044800309,0.20507024125499995
UNDECYLAMINE,phenylalanine,3724,"""7307-55-3""",SA,SA,n-aliphatic primary amines,171.3229,682.0,20.2,0.70426,2.768495,5.81378,3.69597,253.076,3B,842.1052631578948,0.02631578947368421,2.24511944721448,0.305779068392908,0.0,3.94616283710078,0.02843656839944315,0.1317819561204236,0.03646911591004769,0.20136457107600006
